PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
204060,2014-15,00,1610612762,UTA,27.0,79,32,1673.0,147,354,0.415,72,202,0.356,30,40,0.75,22,153,175,182,72,10,98,124,396
204060,2015-16,00,1610612762,UTA,28.0,81,2,1241.0,124,291,0.426,81,210,0.386,13,18,0.722,19,132,151,96,55,4,65,98,342
204060,2016-17,00,1610612762,UTA,29.0,82,26,1972.0,204,451,0.452,123,279,0.441,50,68,0.735,23,238,261,225,96,8,107,163,581
204060,2017-18,00,1610612762,UTA,30.0,82,81,2579.0,335,718,0.467,204,464,0.44,66,83,0.795,24,320,344,392,90,20,159,178,940
204060,2018-19,00,1610612762,UTA,31.0,82,82,2568.0,359,802,0.448,189,483,0.391,87,123,0.707,35,295,330,469,98,20,193,180,994
204060,2019-20,00,1610612762,UTA,32.0,72,45,2137.0,246,553,0.445,141,353,0.399,74,94,0.787,27,251,278,373,65,11,142,154,707
204060,2020-21,00,1610612762,UTA,33.0,67,30,1867.0,275,562,0.489,183,406,0.451,76,90,0.844,27,217,244,318,45,12,117,120,809
204060,2021-22,00,1610612762,UTA,34.0,45,15,1122.0,115,285,0.404,78,225,0.347,17,22,0.773,12,119,131,158,23,5,46,82,325
204060,2022-23,00,1610612749,MIL,35.0,46,0,1044.0,108,248,0.435,83,203,0.409,18,21,0.857,13,115,128,150,33,6,55,74,317
204060,2023-24,00,1610612753,ORL,36.0,27,0,498.0,47,115,0.409,29,73,0.397,17,20,0.85,11,60,71,95,22,3,26,45,140
